168,FS828DNA_1029954,3300003513,3300003513 assembled FS828DNA_10299542,FS828DNA_10299542,"Methyl coenzyme M reductase, alpha subunit","Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific ocean - Sample FS828_N3Area_DNA (*) (MER-FS) (assembled)",1,178,NA,*Microbiome,Permanent Draft,"Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific Ocean","Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific ocean - Sample FS828_N3Area_DNA",,Environmental,Aquatic,Marine,Hydrothermal vents,Diffuse flow,"Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific Ocean",NA,NA,NA,NA,NA,NA,NA,,Illumina,,Complete,Metagenome,Environmental,Aquatic,Hydrothermal vents,Marine,Diffuse flow,Diffuse hydrothermal flow volcanic vent,,,,NA,60945433,135876,3300003513 assembled FS828DNA_1029954,3300003513,assembled,"Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific ocean - Sample FS828_N3Area_DNA (*)",6,3157,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,unclassified,unclassified,unclassified,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; unclassified; unclassified; unclassified,67,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,unclassified,unclassified,unclassified,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; unclassified; unclassified; unclassified,67,,,,,,,,,NA,NA,NA,Environmental,Aquatic,Marine,Hydrothermal vents,Diffuse flow,Diffuse hydrothermal flow volcanic vent ,
183,Ga0055472_10003827,3300003998,3300003998 assembled Ga0055472_100038271,Ga0055472_100038271,"Methyl coenzyme M reductase, alpha subunit","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNW_TuleC_D2 (*) (MER-FS) (assembled)",1,197,NA,*Microbiome,Permanent Draft,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNW_TuleC_D2",DOE Joint Genome Institute  (JGI),Environmental,Aquatic,Marine,Wetlands,Unclassified,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration",NA,NA,NA,NA,NA,NA,NA,,Illumina HiSeq 2500-Rapid,Level 1: Standard Draft,Complete,Metagenome,Environmental,Aquatic,Wetlands,Marine,Unclassified,Natural and restored wetlands,,,,NA,796160344,2402469,3300003998 assembled Ga0055472_10003827,3300003998,assembled,"Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNW_TuleC_D2 (*)",2,2510,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales,100,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales,100,,,,,,,,,NA,NA,NA,Environmental,Aquatic,Marine,Wetlands,Unclassified,Natural and restored wetlands,
196,Ga0066794_10038145,3300005947,3300005947 assembled Ga0066794_100381451,Ga0066794_100381451,"Methyl coenzyme M reductase, alpha subunit","Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Permafrost soil replicate 2 DNA2013-190 (*) (MER-FS) (assembled)",1,259,NA,*Microbiome,Permanent Draft,"Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM)","Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Permafrost soil replicate 2 DNA2013-190",DOE Joint Genome Institute  (JGI),Environmental,Terrestrial,Soil,Tundra,Permafrost,"Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM)",NA,NA,NA,NA,NA,NA,NA,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Environmental,Terrestrial,Tundra,Soil,Permafrost,Soil,,,,NA,604784549,1731078,3300005947 assembled Ga0066794_10038145,3300005947,assembled,"Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Permafrost soil replicate 2 DNA2013-190 (*)",2,1416,Archaea,Euryarchaeota,,,,,,Archaea; Euryarchaeota,100,Archaea,Euryarchaeota,,,,,,Archaea; Euryarchaeota,100,,,,,,,,,NA,NA,NA,Environmental,Terrestrial,Soil,Tundra,Permafrost,Soil,
297,Ga0074199_1001398,3300005325,3300005325 assembled Ga0074199_100139810,Ga0074199_100139810,"Methyl coenzyme M reductase, alpha subunit","Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-47 (*) (MER-FS) (assembled)",1,227,NA,*Microbiome,Permanent Draft,"Bioremediated contaminated groundwater microbial communities from North Railroad Avenue plume (NRAP), New Mexico","Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-47",DOE Joint Genome Institute  (JGI),Environmental,Aquatic,Deep subsurface,Groundwater,Contaminated,"Bioremediated contaminated groundwater microbial communities from North Railroad Avenue plume (NRAP), New Mexico",NA,NA,NA,NA,NA,NA,NA,,Illumina HiSeq 2500,Level 1: Standard Draft,Complete,Metagenome,Environmental,Aquatic,Groundwater,Deep subsurface,Contaminated,Bioremediated contaminated groundwater,,,,NA,295078100,424336,3300005325 assembled Ga0074199_1001398,3300005325,assembled,"Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-47 (*)",25,21541,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA,Environmental,Aquatic,Deep subsurface,Groundwater,Contaminated,Bioremediated contaminated groundwater,
334,Ga0075316_1011674,3300014314,3300014314 assembled Ga0075316_10116741,Ga0075316_10116741,methyl-coenzyme M reductase alpha subunit,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNE_TuleA_D2 (*) (MER-FS) (assembled)",1,623,NA,*Microbiome,Permanent Draft,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration","Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNE_TuleA_D2",DOE Joint Genome Institute  (JGI),Environmental,Terrestrial,Soil,Wetlands,Unclassified,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration",NA,NA,NA,NA,NA,NA,NA,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Environmental,Terrestrial,Wetlands,Soil,Unclassified,Natural and restored wetlands,,,,NA,349343609,835852,3300014314 assembled Ga0075316_1011674,3300014314,assembled,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNE_TuleA_D2 (*)",2,1622,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA,Environmental,Terrestrial,Soil,Wetlands,Unclassified,Natural and restored wetlands,
340,Ga0075323_1000872,3300014301,3300014301 assembled Ga0075323_10008724,Ga0075323_10008724,methyl-coenzyme M reductase alpha subunit,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNW_TuleA_D1 (*) (MER-FS) (assembled)",1,621,NA,*Microbiome,Permanent Draft,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration","Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNW_TuleA_D1",DOE Joint Genome Institute  (JGI),Environmental,Terrestrial,Soil,Wetlands,Unclassified,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration",NA,NA,NA,NA,NA,NA,NA,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Environmental,Terrestrial,Wetlands,Soil,Unclassified,Natural and restored wetlands,,,,NA,283072386,687922,3300014301 assembled Ga0075323_1000872,3300014301,assembled,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNW_TuleA_D1 (*)",6,3844,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,Candidatus Methanoperedens nitroreducens,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Candidatus Methanoperedenaceae; Candidatus Methanoperedens; Candidatus Methanoperedens nitroreducens,83,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,Candidatus Methanoperedens nitroreducens,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Candidatus Methanoperedenaceae; Candidatus Methanoperedens; Candidatus Methanoperedens nitroreducens,83,,,,,,,,,NA,NA,NA,Environmental,Terrestrial,Soil,Wetlands,Unclassified,Natural and restored wetlands,
344,Ga0075518_1007939,3300006972,3300006972 assembled Ga0075518_10079391,Ga0075518_10079391,"Methyl coenzyme M reductase, alpha subunit","Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA - NGEE PermafrostAB136-A (*) (MER-FS) (assembled)",1,310,NA,*Microbiome,Permanent Draft,"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA","Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA - NGEE PermafrostAB136-A",DOE Joint Genome Institute  (JGI),Environmental,Terrestrial,Soil,Wetlands,Peat,"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA",NA,NA,NA,NA,NA,NA,NA,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Environmental,Terrestrial,Wetlands,Soil,Peat,Arctic peat soil,,,,NA,195625224,415677,3300006972 assembled Ga0075518_1007939,3300006972,assembled,"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA - NGEE PermafrostAB136-A (*)",2,2285,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,Candidatus Methanoperedens nitroreducens,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Candidatus Methanoperedenaceae; Candidatus Methanoperedens; Candidatus Methanoperedens nitroreducens,100,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,Candidatus Methanoperedens nitroreducens,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Candidatus Methanoperedenaceae; Candidatus Methanoperedens; Candidatus Methanoperedens nitroreducens,100,,,,,,,,,NA,NA,NA,Environmental,Terrestrial,Soil,Wetlands,Peat,Arctic peat soil,
364,Ga0077123_100666,3300005745,3300005745 assembled Ga0077123_1006663,Ga0077123_1006663,"Methyl coenzyme M reductase, alpha subunit","Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS844 (*) (MER-FS) (assembled)",1,245,NA,*Microbiome,Permanent Draft,"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean","Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS844",Marine Biological Laboratory,Environmental,Aquatic,Marine,Hydrothermal vents,Diffuse flow,"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean",NA,NA,NA,NA,NA,NA,NA,,Illumina MiSeq,,Complete,Metagenome,Environmental,Aquatic,Hydrothermal vents,Marine,Diffuse flow,hydrothermal vent diffuse flow fluid,,,7.55,NA,95261731,125075,3300005745 assembled Ga0077123_100666,3300005745,assembled,"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS844 (*)",7,6278,Archaea,Euryarchaeota,,,,,,Archaea; Euryarchaeota,57,Archaea,Euryarchaeota,,,,,,Archaea; Euryarchaeota,43,,,,,,,,,NA,NA,NA,Environmental,Aquatic,Marine,Hydrothermal vents,Diffuse flow,hydrothermal vent diffuse flow fluid,
968,Ga0119857_1000114,3300029304,3300029304 assembled Ga0119857_100011421,Ga0119857_100011421,methyl-coenzyme M reductase alpha subunit,Anaerobic bioreactor microbial community of Freshwater lake and wastewater samples from Australia - AOM-metagenome-Illumina (*) (MER-FS) (assembled),1,1246,NA,*Microbiome,Permanent Draft,Anaerobic bioreactor microbial community of Freshwater lake and wastewater samples from Australia,Anaerobic bioreactor microbial community of Freshwater lake and wastewater samples from Australia - AOM-metagenome-Illumina,University of Queensland,Engineered,Bioreactor,Anaerobic,Unclassified,Unclassified,Anaerobic bioreactor microbial community of Freshwater lake and wastewater samples from Australia,NA,NA,NA,NA,NA,NA,NA,,Illumina HiSeq 2000,,Complete,Metagenome,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Anaerobic bioreactor,,,,NA,169983460,337604,3300029304 assembled Ga0119857_1000114,3300029304,assembled,Anaerobic bioreactor microbial community of Freshwater lake and wastewater samples from Australia - AOM-metagenome-Illumina (*),59,54512,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,Candidatus Methanoperedens nitroreducens,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Candidatus Methanoperedenaceae; Candidatus Methanoperedens; Candidatus Methanoperedens nitroreducens,95,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,Candidatus Methanoperedens nitroreducens,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Candidatus Methanoperedenaceae; Candidatus Methanoperedens; Candidatus Methanoperedens nitroreducens,95,,,,,,,,,NA,NA,NA,Engineered,Bioreactor,Anaerobic,Unclassified,Unclassified,Anaerobic bioreactor,bioreactor metagenome
985,Ga0120406_12083658,3300009429,3300009429 assembled Ga0120406_120836585,Ga0120406_120836585,methyl-coenzyme M reductase alpha subunit,"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS844 no min length (*) (MER-FS) (assembled)",1,386,NA,*Microbiome,Permanent Draft,"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean","Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS844 no min length",Marine Biological Laboratory,Environmental,Aquatic,Marine,Hydrothermal vents,Diffuse flow,"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean",NA,NA,NA,NA,NA,NA,NA,,Illumina MiSeq,,Complete,Metagenome,Environmental,Aquatic,Hydrothermal vents,Marine,Diffuse flow,hydrothermal vent diffuse flow fluid,,,7.55,NA,791626083,2953297,3300009429 assembled Ga0120406_12083658,3300009429,assembled,"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS844 no min length (*)",7,5877,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,Candidatus Methanoperedens nitroreducens,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Candidatus Methanoperedenaceae; Candidatus Methanoperedens; Candidatus Methanoperedens nitroreducens,71,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,Candidatus Methanoperedens nitroreducens,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Candidatus Methanoperedenaceae; Candidatus Methanoperedens; Candidatus Methanoperedens nitroreducens,71,,,,,,,,,NA,NA,NA,Environmental,Aquatic,Marine,Hydrothermal vents,Diffuse flow,hydrothermal vent diffuse flow fluid,
