109,Draft_10022088,3300001567,3300001567 assembled Draft_100220881,Draft_100220881,"Methyl coenzyme M reductase, alpha subunit","Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada (*) (MER-FS) (assembled)",1,91,NA,*Microbiome,Permanent Draft,Hydrocarbon resource environments microbial communities from Canada and USA,"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada",McGill University,Engineered,Wastewater,Industrial wastewater,Petrochemical,Unclassified,Hydrocarbon resource environments microbial communities from Canada and USA,NA,NA,NA,NA,NA,NA,NA,,"454 GS FLX Titanium, Sanger",Level 1: Standard Draft,Complete,Metagenome,Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,,NA,605635502,1184637,3300001567 assembled Draft_10022088,3300001567,assembled,"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada (*)",2,3083,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA,Engineered,Wastewater,Industrial wastewater,Petrochemical,Unclassified,Hydrocarbon resource environments,
113,Draft_10026445,3300001580,3300001580 assembled Draft_100264455,Draft_100264455,"Methyl coenzyme M reductase, alpha subunit","Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Microbes from Suncor taillings pond 6 2012TP6_6 (*) (MER-FS) (assembled)",1,92,NA,*Microbiome,Permanent Draft,Hydrocarbon resource environments microbial communities from Canada and USA,"Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Microbes from Suncor taillings pond 6 2012TP6_6",McGill University,Engineered,Wastewater,Industrial wastewater,Petrochemical,Unclassified,Hydrocarbon resource environments microbial communities from Canada and USA,NA,NA,NA,NA,NA,NA,NA,,Illumina HiSeq 2000,,Complete,Metagenome,Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,6.8-7.1,NA,1282178941,3205687,3300001580 assembled Draft_10026445,3300001580,assembled,"Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Microbes from Suncor taillings pond 6 2012TP6_6 (*)",6,4216,Archaea,Euryarchaeota,,,,,,Archaea; Euryarchaeota,50,Archaea,Euryarchaeota,,,,,,Archaea; Euryarchaeota,50,,,,,,,,,NA,NA,NA,Engineered,Wastewater,Industrial wastewater,Petrochemical,Unclassified,Hydrocarbon resource environments,
114,Draft_10026778,3300000568,3300000568 assembled Draft_100267785,Draft_100267785,"Methyl coenzyme M reductase, alpha subunit",Tailings pond microbial communities from Northern Alberta -Short chain hydrocarbon degrading methanogenic enrichment culture SCADC: (*) (MER-FS) (assembled),1,61,NA,*Microbiome,Permanent Draft,Hydrocarbon resource environments microbial communities from Canada and USA,Tailings pond microbial communities from Northern Alberta -Short chain hydrocarbon degrading methanogenic enrichment culture SCADC:,McGill University,Engineered,Built environment,Tailings pond,Petrochemical,Wastewater,Hydrocarbon resource environments microbial communities from Canada and USA,NA,NA,NA,NA,NA,NA,NA,,454 GS FLX Titanium,,Complete,Metagenome,Engineered,Built environment,Petrochemical,Tailings pond,Wastewater,Hydrocarbon resource environments,,,7.26,NA,646672477,1513645,3300000568 assembled Draft_10026778,3300000568,assembled,Tailings pond microbial communities from Northern Alberta -Short chain hydrocarbon degrading methanogenic enrichment culture SCADC: (*),8,6434,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae,38,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae,38,,,,,,,,,NA,NA,NA,Engineered,Built environment,Tailings pond,Petrochemical,Wastewater,Hydrocarbon resource environments,
123,Draft_10082834,3300000568,3300000568 assembled Draft_100828341,Draft_100828341,"Methyl coenzyme M reductase, alpha subunit",Tailings pond microbial communities from Northern Alberta -Short chain hydrocarbon degrading methanogenic enrichment culture SCADC: (*) (MER-FS) (assembled),1,61,NA,*Microbiome,Permanent Draft,Hydrocarbon resource environments microbial communities from Canada and USA,Tailings pond microbial communities from Northern Alberta -Short chain hydrocarbon degrading methanogenic enrichment culture SCADC:,McGill University,Engineered,Built environment,Tailings pond,Petrochemical,Wastewater,Hydrocarbon resource environments microbial communities from Canada and USA,NA,NA,NA,NA,NA,NA,NA,,454 GS FLX Titanium,,Complete,Metagenome,Engineered,Built environment,Petrochemical,Tailings pond,Wastewater,Hydrocarbon resource environments,,,7.26,NA,646672477,1513645,3300000568 assembled Draft_10082834,3300000568,assembled,Tailings pond microbial communities from Northern Alberta -Short chain hydrocarbon degrading methanogenic enrichment culture SCADC: (*),4,4158,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae,75,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae,75,,,,,,,,,NA,NA,NA,Engineered,Built environment,Tailings pond,Petrochemical,Wastewater,Hydrocarbon resource environments,
133,draft_11078447,3300002703,3300002703 assembled draft_110784474,draft_110784474,"Methyl coenzyme M reductase, alpha subunit","Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Microbes from Oil sands tailings Tailings Pond 5 - 2012TP5 (*) (MER-FS) (assembled)",1,158,NA,*Microbiome,Permanent Draft,Hydrocarbon resource environments microbial communities from Canada and USA,"Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Microbes from Oil sands tailings Tailings Pond 5 - 2012TP5",McGill University,Engineered,Built environment,Tailings pond,Petrochemical,Wastewater,Hydrocarbon resource environments microbial communities from Canada and USA,NA,NA,NA,NA,NA,NA,NA,,"Illumina HiSeq 2000, 454 GS FLX Titanium",,Complete,Metagenome,Engineered,Built environment,Petrochemical,Tailings pond,Wastewater,Hydrocarbon resource environments,,,7.5,NA,619148724,1399910,3300002703 assembled draft_11078447,3300002703,assembled,"Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Microbes from Oil sands tailings Tailings Pond 5 - 2012TP5 (*)",7,5110,Archaea,Euryarchaeota,,,,,,Archaea; Euryarchaeota,57,Archaea,Euryarchaeota,,,,,,Archaea; Euryarchaeota,57,,,,,,,,,NA,NA,NA,Engineered,Built environment,Tailings pond,Petrochemical,Wastewater,Hydrocarbon resource environments,
240,Ga0072682_110837,3300005099,3300005099 assembled Ga0072682_1108373,Ga0072682_1108373,"Methyl coenzyme M reductase, alpha subunit","Hydrothermal sediment microbial communities from the Guaymas Basin, Gulf of California, Pacific Ocean - 10, 8-11cmbsf (*) (MER-FS) (assembled)",1,213,NA,*Microbiome,Permanent Draft,Hydrothermal sediment in Guaymas,"Hydrothermal sediment microbial communities from the Guaymas Basin, Gulf of California, Pacific Ocean - 10, 8-11cmbsf",Beijing Genomics Institute (BGI),Environmental,Aquatic,Marine,Unclassified,Unclassified,Hydrothermal sediment in Guaymas,NA,NA,NA,NA,NA,NA,NA,,,,Complete,Metagenome,Environmental,Aquatic,Unclassified,Marine,Unclassified,marine,,,,NA,234918618,276075,3300005099 assembled Ga0072682_110837,3300005099,assembled,"Hydrothermal sediment microbial communities from the Guaymas Basin, Gulf of California, Pacific Ocean - 10, 8-11cmbsf (*)",5,6041,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA,Environmental,Aquatic,Marine,Unclassified,Unclassified,marine,
242,Ga0072683_100956,3300005098,3300005098 assembled Ga0072683_1009564,Ga0072683_1009564,"Methyl coenzyme M reductase, alpha subunit","Hydrothermal sediment microbial communities from the Guaymas Basin, Gulf of California, Pacific Ocean - 8, 4-6cmbsf (*) (MER-FS) (assembled)",1,212,NA,*Microbiome,Permanent Draft,Hydrothermal sediment in Guaymas,"Hydrothermal sediment microbial communities from the Guaymas Basin, Gulf of California, Pacific Ocean - 8, 4-6cmbsf",Beijing Genomics Institute (BGI),Environmental,Aquatic,Marine,Unclassified,Unclassified,Hydrothermal sediment in Guaymas,NA,NA,NA,NA,NA,NA,NA,,,,Complete,Metagenome,Environmental,Aquatic,Unclassified,Marine,Unclassified,marine,,,,NA,202792850,212196,3300005098 assembled Ga0072683_100956,3300005098,assembled,"Hydrothermal sediment microbial communities from the Guaymas Basin, Gulf of California, Pacific Ocean - 8, 4-6cmbsf (*)",12,8304,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA,Environmental,Aquatic,Marine,Unclassified,Unclassified,marine,
243,Ga0072683_101269,3300005098,3300005098 assembled Ga0072683_1012698,Ga0072683_1012698,"Methyl coenzyme M reductase, alpha subunit","Hydrothermal sediment microbial communities from the Guaymas Basin, Gulf of California, Pacific Ocean - 8, 4-6cmbsf (*) (MER-FS) (assembled)",1,212,NA,*Microbiome,Permanent Draft,Hydrothermal sediment in Guaymas,"Hydrothermal sediment microbial communities from the Guaymas Basin, Gulf of California, Pacific Ocean - 8, 4-6cmbsf",Beijing Genomics Institute (BGI),Environmental,Aquatic,Marine,Unclassified,Unclassified,Hydrothermal sediment in Guaymas,NA,NA,NA,NA,NA,NA,NA,,,,Complete,Metagenome,Environmental,Aquatic,Unclassified,Marine,Unclassified,marine,,,,NA,202792850,212196,3300005098 assembled Ga0072683_101269,3300005098,assembled,"Hydrothermal sediment microbial communities from the Guaymas Basin, Gulf of California, Pacific Ocean - 8, 4-6cmbsf (*)",9,9245,Archaea,Euryarchaeota,Methanococci,Methanococcales,,,,Archaea; Euryarchaeota; Methanococci; Methanococcales,33,Archaea,Euryarchaeota,Methanococci,Methanococcales,,,,Archaea; Euryarchaeota; Methanococci; Methanococcales,33,,,,,,,,,NA,NA,NA,Environmental,Aquatic,Marine,Unclassified,Unclassified,marine,
310,Ga0074260_103,3300005373,3300005373 assembled Ga0074260_10334,Ga0074260_10334,"Methyl coenzyme M reductase, alpha subunit","Marine sediment archaeal communities from Eel River Basin, California, USA (*) (MER-FS) (assembled)",1,230,NA,*Microbiome,Permanent Draft,"Marine sediment archaeal communities from Eel River Basin, California, USA","Marine sediment archaeal communities from Eel River Basin, California, USA",DOE Joint Genome Institute  (JGI),Environmental,Aquatic,Marine,Neritic zone,Unclassified,"Marine sediment archaeal communities from Eel River Basin, California, USA",NA,NA,NA,NA,NA,NA,NA,,,,Complete,Metagenome,Environmental,Aquatic,Neritic zone/Coastal water,Marine,Unclassified,Marine sediment,,,,NA,2116258,2403,3300005373 assembled Ga0074260_103,3300005373,assembled,"Marine sediment archaeal communities from Eel River Basin, California, USA (*)",43,36155,Archaea,Euryarchaeota,,,,,,Archaea; Euryarchaeota,55,Archaea,Euryarchaeota,,,,,,Archaea; Euryarchaeota,55,,,,,,,,,NA,NA,NA,Environmental,Aquatic,Marine,Neritic zone,Unclassified,Marine sediment,
311,Ga0074260_106,3300005373,3300005373 assembled Ga0074260_1063,Ga0074260_1063,"Methyl coenzyme M reductase, alpha subunit","Marine sediment archaeal communities from Eel River Basin, California, USA (*) (MER-FS) (assembled)",1,230,NA,*Microbiome,Permanent Draft,"Marine sediment archaeal communities from Eel River Basin, California, USA","Marine sediment archaeal communities from Eel River Basin, California, USA",DOE Joint Genome Institute  (JGI),Environmental,Aquatic,Marine,Neritic zone,Unclassified,"Marine sediment archaeal communities from Eel River Basin, California, USA",NA,NA,NA,NA,NA,NA,NA,,,,Complete,Metagenome,Environmental,Aquatic,Neritic zone/Coastal water,Marine,Unclassified,Marine sediment,,,,NA,2116258,2403,3300005373 assembled Ga0074260_106,3300005373,assembled,"Marine sediment archaeal communities from Eel River Basin, California, USA (*)",36,35492,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA,Environmental,Aquatic,Marine,Neritic zone,Unclassified,Marine sediment,
